date,description,bank_category,value,type,jar
2026-07-01,CZYNSZ NAJMU MIESZKANIA,Mieszkanie,-2400.0,account,NEC
2026-07-03,BIEDRONKA ZAKUPY SPOZYWCZE,Spozywcze,-285.4,credit_card,NEC
2026-07-05,LIDL ZAKUPY SPOZYWCZE,Spozywcze,-198.75,account,NEC
2026-07-06,PGE OBROT - RACHUNEK ZA PRAD,Media,-210.0,account,NEC
2026-07-07,ORANGE POLSKA - INTERNET I TELEFON,Media,-95.0,account,NEC
2026-07-08,PZU ZYCIE - SKLADKA UBEZPIECZENIOWA,Ubezpieczenie,-120.0,account,NEC
2026-07-09,BOLT / UBER PRZEJAZD,Transport,-42.6,credit_card,NEC
2026-07-12,MPK BILET MIESIECZNY,Transport,-110.0,account,NEC
2026-07-04,PRZELEW NA KONTO MAKLERSKIE XTB,Inwestycje,-680.0,account,FFA
2026-07-11,PRZELEW - ETF AKUMULACYJNY IKE,Inwestycje,-50.0,account,FFA
2026-07-14,PRZELEW NA LOKATE - FUNDUSZ AWARYJNY,Oszczednosci,-450.0,account,LTSS
2026-07-16,RATA - NAPRAWA SAMOCHODU,Naprawy,-230.0,credit_card,LTSS
2026-07-13,UDEMY KURS ONLINE - PYTHON,Edukacja,-89.99,credit_card,EDU
2026-07-19,KSIEGARNIA - KSIAZKI ROZWOJOWE,Edukacja,-120.0,account,EDU
2026-07-17,RESTAURACJA KOLACJA ZE ZNAJOMYMI,Rozrywka,-180.0,credit_card,PLAY
2026-07-20,DAROWIZNA - WOSP FUNDACJA,Darowizny,-100.0,account,GIVE
